dataset,method,frobenius_deviation,edge_recovery,synthetic_only_rate,real_edges,synthetic_edges
HIV,Bootstrap,1.18365575882874,0.8118279569892473,0.2094240837696335,186,191
HIV,Column-wise,3.1616900670568455,0.0,,186,0
HIV,GMM,1.1662236599376263,0.8924731182795699,0.2905982905982906,186,234
HIV,SMOTE,1.4583177156217575,0.956989247311828,0.3904109589041096,186,292
HIV,GMM-guided SMOTE,1.5360141679457304,0.8172043010752689,0.36929460580912865,186,241
HIV,CVAE,6892.101816028935,1.0,0.9047619047619048,186,1953
HIV,WGAN-GP,3.303902346506597,0.04838709677419355,0.8860759493670886,186,79
Breast Cancer,Bootstrap,0.3785609336825726,0.9278350515463918,0.05263157894736842,97,95
Breast Cancer,Column-wise,2.4326746476775187,0.26804123711340205,0.16129032258064516,97,31
Breast Cancer,GMM,0.956552377721919,0.7835051546391752,0.02564102564102564,97,78
Breast Cancer,SMOTE,0.3830692416434541,0.9587628865979382,0.12264150943396226,97,106
Breast Cancer,GMM-guided SMOTE,0.34485051151277374,0.9484536082474226,0.12380952380952381,97,105
Breast Cancer,CVAE,1.4780127577381725,0.9278350515463918,0.3076923076923077,97,130
Breast Cancer,WGAN-GP,2.603500770103412,0.10309278350515463,0.8076923076923077,97,52
Diabetes,Bootstrap,0.3701348733833326,1.0,0.125,21,24
Diabetes,Column-wise,1.561420811050554,0.8095238095238095,0.2916666666666667,21,24
Diabetes,GMM,0.320983623544264,0.9523809523809523,0.2,21,25
Diabetes,SMOTE,0.40927731601460365,0.9523809523809523,0.16666666666666666,21,24
Diabetes,GMM-guided SMOTE,0.5377756086813165,1.0,0.16,21,25
Diabetes,CVAE,6.3719461443405745,0.9047619047619048,0.24,21,25
Diabetes,WGAN-GP,5.916437752545672,0.8571428571428571,0.25,21,24
